loss=0.1898, Monte Carlo price=0.3554, predicted=0.6696
loss=0.0965, Monte Carlo price=0.3562, predicted=0.4695
loss=0.0927, Monte Carlo price=0.3557, predicted=0.3655
loss=0.0913, Monte Carlo price=0.3589, predicted=0.3716
loss=0.0861, Monte Carlo price=0.3525, predicted=0.3694
loss=0.0863, Monte Carlo price=0.3545, predicted=0.3634
loss=0.0863, Monte Carlo price=0.3628, predicted=0.3743
loss=0.0849, Monte Carlo price=0.3527, predicted=0.3679
loss=0.0878, Monte Carlo price=0.3588, predicted=0.3786
loss=0.0826, Monte Carlo price=0.3515, predicted=0.3553
loss=0.5492, Monte Carlo price=0.0000, predicted=0.7532
loss=0.6374, Monte Carlo price=0.0000, predicted=0.8121
loss=0.7415, Monte Carlo price=0.0000, predicted=0.8736
loss=0.8662, Monte Carlo price=0.0000, predicted=0.9368
loss=1.0139, Monte Carlo price=0.0000, predicted=1.0050
loss=1.1289, Monte Carlo price=0.0000, predicted=1.0667
loss=1.2744, Monte Carlo price=0.0000, predicted=1.1341
loss=1.4307, Monte Carlo price=0.0000, predicted=1.2072
loss=1.5001, Monte Carlo price=0.0000, predicted=1.2703
loss=1.6023, Monte Carlo price=0.0000, predicted=1.3390
loss=0.3134, Monte Carlo price=0.1262, predicted=0.6647
loss=0.3712, Monte Carlo price=0.1245, predicted=0.6860
loss=0.5244, Monte Carlo price=0.1246, predicted=0.7134
loss=0.9260, Monte Carlo price=0.1255, predicted=0.7487
loss=1.8331, Monte Carlo price=0.1230, predicted=0.7867
loss=3.8757, Monte Carlo price=0.1263, predicted=0.8333
loss=7.5666, Monte Carlo price=0.1243, predicted=0.8887
loss=13.6042, Monte Carlo price=0.1237, predicted=0.9510
loss=23.0124, Monte Carlo price=0.1228, predicted=1.0204
loss=34.6427, Monte Carlo price=0.1279, predicted=1.0890
loss=0.6146, Monte Carlo price=0.0000, predicted=0.7699
loss=0.6729, Monte Carlo price=0.0000, predicted=0.7988
loss=0.7474, Monte Carlo price=0.0000, predicted=0.8329
loss=0.8423, Monte Carlo price=0.0000, predicted=0.8666
loss=0.9815, Monte Carlo price=0.0000, predicted=0.9056
loss=1.1732, Monte Carlo price=0.0000, predicted=0.9527
loss=1.4193, Monte Carlo price=0.0000, predicted=1.0099
loss=1.7060, Monte Carlo price=0.0000, predicted=1.0759
loss=2.0089, Monte Carlo price=0.0000, predicted=1.1451
loss=2.3157, Monte Carlo price=0.0000, predicted=1.2135
loss=334.0427, Monte Carlo price=9.4037, predicted=0.7497
loss=312.0476, Monte Carlo price=9.1948, predicted=0.8149
loss=334.8318, Monte Carlo price=9.6023, predicted=0.8461
loss=325.4376, Monte Carlo price=9.7293, predicted=0.8720
loss=306.2596, Monte Carlo price=9.2935, predicted=0.8970
loss=291.0700, Monte Carlo price=9.1135, predicted=1.0509
loss=287.0878, Monte Carlo price=9.1958, predicted=1.2533
loss=281.3557, Monte Carlo price=9.0602, predicted=1.3292
loss=284.8823, Monte Carlo price=9.2041, predicted=1.4332
loss=269.4402, Monte Carlo price=9.1484, predicted=1.5205
loss=263.4798, Monte Carlo price=12.6473, predicted=0.7686
loss=250.2328, Monte Carlo price=12.6023, predicted=0.8353
loss=233.1572, Monte Carlo price=12.4523, predicted=0.8951
loss=212.5162, Monte Carlo price=12.3914, predicted=0.9464
loss=202.3750, Monte Carlo price=12.5129, predicted=1.0153
loss=179.4321, Monte Carlo price=12.4497, predicted=1.0781
loss=170.5895, Monte Carlo price=12.5406, predicted=1.1398
loss=159.4196, Monte Carlo price=12.6256, predicted=1.2030
loss=147.6276, Monte Carlo price=12.4812, predicted=1.2697
loss=135.3142, Monte Carlo price=12.3586, predicted=1.3319
