loss=27.1536, Monte Carlo price=1.2888, predicted=0.7117
loss=34.0283, Monte Carlo price=1.5594, predicted=0.7451
loss=28.8688, Monte Carlo price=1.3583, predicted=0.7714
loss=28.7485, Monte Carlo price=1.4013, predicted=0.8036
loss=29.8647, Monte Carlo price=1.4128, predicted=0.8268
loss=26.6687, Monte Carlo price=1.3202, predicted=0.8533
loss=29.7657, Monte Carlo price=1.3986, predicted=0.8774
loss=28.8511, Monte Carlo price=1.3775, predicted=0.9047
loss=35.1714, Monte Carlo price=1.5418, predicted=0.9056
loss=28.6403, Monte Carlo price=1.4979, predicted=0.9434
loss=29.4777, Monte Carlo price=1.4375, predicted=0.7368
loss=28.5875, Monte Carlo price=1.4271, predicted=0.7654
loss=28.5090, Monte Carlo price=1.4409, predicted=0.7949
loss=25.7712, Monte Carlo price=1.3752, predicted=0.8273
loss=37.3051, Monte Carlo price=1.7150, predicted=0.8617
loss=35.5890, Monte Carlo price=1.6197, predicted=0.8954
loss=29.4544, Monte Carlo price=1.4627, predicted=0.9281
loss=26.4197, Monte Carlo price=1.4365, predicted=0.9599
loss=33.6227, Monte Carlo price=1.5833, predicted=0.9939
loss=30.4181, Monte Carlo price=1.5091, predicted=1.0349
loss=32.9653, Monte Carlo price=1.5815, predicted=1.0681
loss=32.6024, Monte Carlo price=1.5840, predicted=1.1041
loss=28.6703, Monte Carlo price=1.5386, predicted=1.1427
loss=31.3657, Monte Carlo price=1.5490, predicted=1.1756
loss=36.8676, Monte Carlo price=1.6091, predicted=1.2176
loss=29.5743, Monte Carlo price=1.5083, predicted=1.2475
loss=30.8774, Monte Carlo price=1.5761, predicted=1.2802
loss=34.6035, Monte Carlo price=1.6891, predicted=1.3082
loss=31.5646, Monte Carlo price=1.4810, predicted=1.3363
loss=26.9292, Monte Carlo price=1.4714, predicted=1.3600
loss=27.0449, Monte Carlo price=1.3927, predicted=1.3988
loss=28.7472, Monte Carlo price=1.5380, predicted=1.4179
loss=29.4966, Monte Carlo price=1.5188, predicted=1.4409
loss=31.9308, Monte Carlo price=1.6198, predicted=1.4565
loss=27.4422, Monte Carlo price=1.4375, predicted=1.4803
loss=31.8491, Monte Carlo price=1.5788, predicted=1.5008
loss=27.1471, Monte Carlo price=1.4115, predicted=1.5093
loss=33.7829, Monte Carlo price=1.6523, predicted=1.5243
loss=29.6247, Monte Carlo price=1.4822, predicted=1.5290
loss=28.1147, Monte Carlo price=1.5160, predicted=1.5435
loss=29.5898, Monte Carlo price=1.5270, predicted=1.5533
loss=32.2562, Monte Carlo price=1.6341, predicted=1.5723
loss=30.7374, Monte Carlo price=1.6292, predicted=1.5907
loss=23.9799, Monte Carlo price=1.4384, predicted=1.5981
loss=31.5283, Monte Carlo price=1.6377, predicted=1.5979
loss=31.4008, Monte Carlo price=1.5686, predicted=1.5952
loss=26.9115, Monte Carlo price=1.5247, predicted=1.6093
loss=25.0898, Monte Carlo price=1.3791, predicted=1.6133
loss=29.4578, Monte Carlo price=1.4905, predicted=1.6356
loss=28.9966, Monte Carlo price=1.5695, predicted=1.6289
loss=27.3105, Monte Carlo price=1.5821, predicted=1.6402
loss=32.4341, Monte Carlo price=1.5896, predicted=1.6476
loss=27.3489, Monte Carlo price=1.4221, predicted=1.6380
loss=29.9373, Monte Carlo price=1.5457, predicted=1.6316
loss=31.0103, Monte Carlo price=1.6785, predicted=1.6085
loss=28.2086, Monte Carlo price=1.5416, predicted=1.6025
loss=28.2842, Monte Carlo price=1.5588, predicted=1.5927
loss=24.0387, Monte Carlo price=1.4770, predicted=1.5933
loss=26.2889, Monte Carlo price=1.4654, predicted=1.6076
loss=25.1623, Monte Carlo price=1.4983, predicted=1.6232
loss=30.4146, Monte Carlo price=1.6282, predicted=1.6138
loss=27.9256, Monte Carlo price=1.5822, predicted=1.6022
loss=25.5825, Monte Carlo price=1.5310, predicted=1.5861
loss=26.7018, Monte Carlo price=1.5210, predicted=1.5830
loss=28.3321, Monte Carlo price=1.6027, predicted=1.6090
loss=23.1925, Monte Carlo price=1.4509, predicted=1.6091
loss=25.7098, Monte Carlo price=1.5603, predicted=1.6023
loss=24.3667, Monte Carlo price=1.5472, predicted=1.5847
loss=23.9700, Monte Carlo price=1.4257, predicted=1.5658
loss=24.9725, Monte Carlo price=1.5421, predicted=1.5706
loss=22.2638, Monte Carlo price=1.4927, predicted=1.5880
loss=24.4839, Monte Carlo price=1.5095, predicted=1.5787
loss=25.2067, Monte Carlo price=1.5925, predicted=1.5372
loss=28.1312, Monte Carlo price=1.5388, predicted=1.5087
loss=23.9899, Monte Carlo price=1.5378, predicted=1.4981
loss=23.7668, Monte Carlo price=1.5942, predicted=1.4949
loss=23.2717, Monte Carlo price=1.5503, predicted=1.4553
loss=21.1080, Monte Carlo price=1.4231, predicted=1.4165
loss=25.3146, Monte Carlo price=1.6079, predicted=0.9006
loss=24.2487, Monte Carlo price=1.5615, predicted=0.9671
loss=25.6739, Monte Carlo price=1.5294, predicted=1.0301
loss=22.3450, Monte Carlo price=1.5194, predicted=1.0975
loss=25.3007, Monte Carlo price=1.5360, predicted=1.1519
loss=20.8512, Monte Carlo price=1.4781, predicted=1.2049
loss=23.1489, Monte Carlo price=1.5730, predicted=1.2160
loss=23.9051, Monte Carlo price=1.5441, predicted=1.2821
loss=20.6478, Monte Carlo price=1.5113, predicted=1.2578
loss=25.6461, Monte Carlo price=1.5762, predicted=1.2396
loss=21.8544, Monte Carlo price=1.5345, predicted=1.2452
loss=24.2781, Monte Carlo price=1.5803, predicted=1.2314
loss=20.1258, Monte Carlo price=1.4661, predicted=1.2290
loss=19.5290, Monte Carlo price=1.4187, predicted=1.2296
