loss=110.5834, Monte Carlo price=5.5949, predicted=0.7316
loss=99.3543, Monte Carlo price=5.1854, predicted=0.7608
loss=93.2395, Monte Carlo price=5.1143, predicted=0.7897
loss=95.7987, Monte Carlo price=5.4063, predicted=0.8124
loss=97.7005, Monte Carlo price=5.5019, predicted=0.8369
loss=94.4624, Monte Carlo price=5.5508, predicted=0.9001
loss=86.7570, Monte Carlo price=5.3639, predicted=0.9273
loss=79.1270, Monte Carlo price=5.2947, predicted=0.9518
loss=78.7618, Monte Carlo price=5.3151, predicted=0.8681
loss=74.7340, Monte Carlo price=5.2168, predicted=0.9986
loss=108.5618, Monte Carlo price=5.5523, predicted=0.7357
loss=101.8828, Monte Carlo price=5.3239, predicted=0.7636
loss=98.6523, Monte Carlo price=5.3980, predicted=0.7858
loss=97.5284, Monte Carlo price=5.5662, predicted=0.7979
loss=83.9089, Monte Carlo price=5.1134, predicted=0.8116
loss=86.8307, Monte Carlo price=5.3918, predicted=0.8261
loss=84.1786, Monte Carlo price=5.5071, predicted=0.8399
loss=82.9611, Monte Carlo price=5.5758, predicted=0.8535
loss=78.0570, Monte Carlo price=5.3310, predicted=0.8683
loss=79.6407, Monte Carlo price=5.4197, predicted=0.8848
loss=76.6315, Monte Carlo price=5.3775, predicted=0.8176
loss=78.6721, Monte Carlo price=5.4002, predicted=0.9182
loss=76.3681, Monte Carlo price=5.3279, predicted=0.9385
loss=75.4147, Monte Carlo price=5.4758, predicted=0.9613
loss=70.8727, Monte Carlo price=5.3280, predicted=1.1306
loss=70.9470, Monte Carlo price=5.2898, predicted=1.1728
loss=68.8191, Monte Carlo price=5.4049, predicted=1.2166
loss=68.7489, Monte Carlo price=5.3896, predicted=1.2623
loss=66.1169, Monte Carlo price=5.5516, predicted=1.3085
loss=59.4196, Monte Carlo price=5.0950, predicted=1.3568
loss=58.0248, Monte Carlo price=5.1760, predicted=1.4066
loss=55.7467, Monte Carlo price=5.5120, predicted=1.4580
loss=54.2333, Monte Carlo price=5.2396, predicted=1.5134
loss=52.4153, Monte Carlo price=5.3618, predicted=1.5733
loss=53.3145, Monte Carlo price=5.5023, predicted=1.6390
loss=49.5810, Monte Carlo price=5.3098, predicted=1.7082
loss=48.4035, Monte Carlo price=5.3041, predicted=1.7805
loss=47.8899, Monte Carlo price=5.3646, predicted=1.8556
loss=45.7193, Monte Carlo price=5.3052, predicted=1.9333
loss=46.4053, Monte Carlo price=5.3964, predicted=2.0128
loss=45.4246, Monte Carlo price=5.5172, predicted=2.0933
loss=43.2554, Monte Carlo price=5.3330, predicted=2.1769
loss=42.4170, Monte Carlo price=5.2849, predicted=2.2611
loss=40.8683, Monte Carlo price=5.2248, predicted=2.3450
loss=40.3747, Monte Carlo price=5.2889, predicted=2.4289
loss=37.6216, Monte Carlo price=5.3943, predicted=2.5144
loss=37.0797, Monte Carlo price=5.2656, predicted=2.6003
loss=34.3105, Monte Carlo price=5.4259, predicted=2.6869
loss=34.4483, Monte Carlo price=5.4567, predicted=2.7741
loss=33.5645, Monte Carlo price=5.5156, predicted=2.8602
loss=32.0936, Monte Carlo price=5.1234, predicted=2.9479
loss=32.9962, Monte Carlo price=5.5569, predicted=3.0351
loss=30.6403, Monte Carlo price=5.3148, predicted=3.1216
loss=28.9822, Monte Carlo price=5.3833, predicted=3.2104
loss=27.1726, Monte Carlo price=5.2393, predicted=3.2975
loss=26.7738, Monte Carlo price=5.2069, predicted=3.3861
loss=25.8578, Monte Carlo price=5.4612, predicted=3.4718
loss=23.3441, Monte Carlo price=5.2508, predicted=3.5570
loss=23.8301, Monte Carlo price=5.3762, predicted=3.6450
loss=22.8356, Monte Carlo price=5.4401, predicted=3.7303
loss=24.1058, Monte Carlo price=5.4165, predicted=3.8147
loss=20.6050, Monte Carlo price=5.5053, predicted=3.8959
loss=19.9163, Monte Carlo price=5.4386, predicted=3.9773
loss=18.7213, Monte Carlo price=5.3239, predicted=4.0601
loss=20.6102, Monte Carlo price=5.3286, predicted=4.1457
loss=19.7247, Monte Carlo price=5.4641, predicted=4.2252
loss=16.8378, Monte Carlo price=5.4233, predicted=4.3011
loss=17.5388, Monte Carlo price=5.5713, predicted=4.3758
loss=17.6889, Monte Carlo price=5.6586, predicted=4.4451
loss=15.6092, Monte Carlo price=5.4110, predicted=4.5148
loss=16.2630, Monte Carlo price=5.3927, predicted=4.5835
loss=14.9022, Monte Carlo price=5.2694, predicted=4.6445
loss=14.5617, Monte Carlo price=5.4113, predicted=4.7080
loss=14.9904, Monte Carlo price=5.4383, predicted=4.7671
loss=14.5877, Monte Carlo price=5.4954, predicted=4.8209
loss=14.3692, Monte Carlo price=5.4761, predicted=4.8795
loss=13.0080, Monte Carlo price=5.3837, predicted=4.9290
loss=13.6605, Monte Carlo price=5.3340, predicted=4.9766
loss=12.7707, Monte Carlo price=5.2827, predicted=5.0231
loss=12.3657, Monte Carlo price=5.2741, predicted=5.0718
loss=12.4660, Monte Carlo price=5.5747, predicted=5.1110
loss=12.9430, Monte Carlo price=5.3541, predicted=5.1521
loss=12.7286, Monte Carlo price=5.3822, predicted=5.1862
loss=11.7856, Monte Carlo price=5.3398, predicted=5.2135
loss=14.3991, Monte Carlo price=5.2010, predicted=5.2358
loss=11.5297, Monte Carlo price=5.2876, predicted=5.2573
loss=13.2641, Monte Carlo price=5.3475, predicted=5.2695
loss=12.5117, Monte Carlo price=5.4090, predicted=5.2954
loss=10.8440, Monte Carlo price=5.2998, predicted=5.3072
loss=11.0753, Monte Carlo price=5.4680, predicted=5.3160
loss=13.4044, Monte Carlo price=5.4182, predicted=5.3241
loss=10.0678, Monte Carlo price=5.2545, predicted=5.3312
