loss=315.7322, Monte Carlo price=9.1046, predicted=0.7099
loss=297.8988, Monte Carlo price=8.9459, predicted=0.7465
loss=309.7103, Monte Carlo price=9.2168, predicted=0.7706
loss=293.0930, Monte Carlo price=9.1786, predicted=0.7496
loss=281.0792, Monte Carlo price=9.0422, predicted=0.7647
loss=257.3944, Monte Carlo price=8.7146, predicted=0.7753
loss=281.5595, Monte Carlo price=9.2734, predicted=0.7853
loss=261.1342, Monte Carlo price=9.0796, predicted=0.7944
loss=267.6571, Monte Carlo price=9.3108, predicted=0.8466
loss=267.1669, Monte Carlo price=9.2550, predicted=0.9565
loss=252.7736, Monte Carlo price=9.0744, predicted=0.9958
loss=246.4540, Monte Carlo price=9.1470, predicted=1.0375
loss=247.8382, Monte Carlo price=9.1191, predicted=1.0886
loss=250.2603, Monte Carlo price=9.3844, predicted=1.1492
loss=237.8832, Monte Carlo price=9.2033, predicted=1.2181
loss=233.1064, Monte Carlo price=9.1617, predicted=1.2952
loss=229.0774, Monte Carlo price=9.1043, predicted=0.9531
loss=214.9203, Monte Carlo price=8.9567, predicted=0.9916
loss=221.0455, Monte Carlo price=9.1328, predicted=1.2018
loss=221.8997, Monte Carlo price=9.1084, predicted=1.2555
loss=215.5625, Monte Carlo price=9.0607, predicted=1.3102
loss=222.9479, Monte Carlo price=9.2236, predicted=2.1188
loss=207.4089, Monte Carlo price=8.8876, predicted=2.2596
loss=201.1018, Monte Carlo price=9.1484, predicted=2.4007
loss=202.6222, Monte Carlo price=9.0337, predicted=2.5385
loss=188.0508, Monte Carlo price=8.4325, predicted=2.6803
loss=184.2910, Monte Carlo price=8.9094, predicted=2.8201
loss=186.6744, Monte Carlo price=8.7964, predicted=2.9634
loss=187.3503, Monte Carlo price=8.9794, predicted=3.1076
loss=183.4631, Monte Carlo price=9.0074, predicted=3.2536
loss=174.6520, Monte Carlo price=8.8345, predicted=3.3953
loss=172.4685, Monte Carlo price=8.9838, predicted=3.5505
loss=179.1668, Monte Carlo price=9.5724, predicted=3.7059
loss=166.1746, Monte Carlo price=9.1857, predicted=3.8553
loss=159.5806, Monte Carlo price=8.8898, predicted=4.0080
loss=147.7187, Monte Carlo price=8.8890, predicted=4.1641
loss=157.4307, Monte Carlo price=9.0245, predicted=4.3210
loss=138.5534, Monte Carlo price=9.0325, predicted=4.4754
loss=135.5802, Monte Carlo price=8.8916, predicted=4.6301
loss=141.8574, Monte Carlo price=9.2828, predicted=4.7937
loss=132.9721, Monte Carlo price=9.0728, predicted=4.9479
loss=120.2922, Monte Carlo price=8.7990, predicted=5.1063
loss=127.1621, Monte Carlo price=9.1678, predicted=5.2627
loss=117.0254, Monte Carlo price=8.9977, predicted=5.4201
loss=106.5899, Monte Carlo price=8.6672, predicted=5.5711
loss=118.6146, Monte Carlo price=9.2158, predicted=5.7250
loss=105.5125, Monte Carlo price=9.0839, predicted=5.8908
loss=105.5758, Monte Carlo price=9.0320, predicted=6.0564
loss=104.7251, Monte Carlo price=9.2407, predicted=6.2230
loss=100.6208, Monte Carlo price=9.0881, predicted=6.3801
loss=98.4255, Monte Carlo price=9.0015, predicted=6.5279
loss=93.6505, Monte Carlo price=9.2036, predicted=6.6751
loss=96.9033, Monte Carlo price=9.0701, predicted=6.8258
loss=92.2411, Monte Carlo price=8.9255, predicted=6.9996
loss=87.5089, Monte Carlo price=9.0542, predicted=8.7123
loss=87.3377, Monte Carlo price=9.2504, predicted=8.7615
loss=79.9266, Monte Carlo price=9.0734, predicted=8.7818
loss=86.2252, Monte Carlo price=9.0162, predicted=8.7651
loss=76.1606, Monte Carlo price=9.0957, predicted=8.7735
loss=77.6473, Monte Carlo price=8.9541, predicted=8.7888
loss=80.5202, Monte Carlo price=9.2769, predicted=8.7754
loss=71.6162, Monte Carlo price=9.1656, predicted=8.7627
loss=71.9950, Monte Carlo price=9.1869, predicted=8.8053
loss=76.3140, Monte Carlo price=8.9803, predicted=8.8241
loss=73.0328, Monte Carlo price=9.1411, predicted=8.8020
loss=66.3329, Monte Carlo price=9.2294, predicted=8.7689
loss=64.2297, Monte Carlo price=8.8354, predicted=8.7969
loss=61.7608, Monte Carlo price=9.1201, predicted=9.4717
