loss=1.3990, Monte Carlo price=0.2299, predicted=0.6558
loss=1.2578, Monte Carlo price=0.2130, predicted=0.6199
loss=1.2022, Monte Carlo price=0.2145, predicted=0.5835
loss=0.9869, Monte Carlo price=0.1753, predicted=0.5507
loss=1.1856, Monte Carlo price=0.2110, predicted=0.5223
loss=1.1963, Monte Carlo price=0.2050, predicted=0.4946
loss=1.2453, Monte Carlo price=0.2091, predicted=0.4681
loss=1.3695, Monte Carlo price=0.2254, predicted=0.4446
loss=1.1436, Monte Carlo price=0.2008, predicted=0.4215
loss=1.1950, Monte Carlo price=0.2077, predicted=0.3997
loss=1.1629, Monte Carlo price=0.1784, predicted=0.6544
loss=0.9951, Monte Carlo price=0.1732, predicted=0.6144
loss=1.0190, Monte Carlo price=0.1798, predicted=0.5770
loss=1.0291, Monte Carlo price=0.1863, predicted=0.5396
loss=1.1799, Monte Carlo price=0.2094, predicted=0.5075
loss=0.9548, Monte Carlo price=0.1731, predicted=0.4751
loss=0.9074, Monte Carlo price=0.1626, predicted=0.4458
loss=1.1751, Monte Carlo price=0.2028, predicted=0.4192
loss=0.9757, Monte Carlo price=0.1773, predicted=0.3946
loss=0.9091, Monte Carlo price=0.1659, predicted=0.3726
loss=0.9799, Monte Carlo price=0.1808, predicted=0.3530
loss=1.0629, Monte Carlo price=0.1922, predicted=0.3350
loss=1.0682, Monte Carlo price=0.1931, predicted=0.3185
loss=1.0145, Monte Carlo price=0.1868, predicted=0.3036
loss=1.0569, Monte Carlo price=0.1875, predicted=0.2897
loss=1.1129, Monte Carlo price=0.1909, predicted=0.2773
loss=1.3157, Monte Carlo price=0.2277, predicted=0.2662
loss=0.9593, Monte Carlo price=0.1817, predicted=0.2558
loss=1.0527, Monte Carlo price=0.1881, predicted=0.2467
loss=0.8593, Monte Carlo price=0.1672, predicted=0.2387
loss=1.0631, Monte Carlo price=0.2005, predicted=0.2328
loss=1.1613, Monte Carlo price=0.2077, predicted=0.2276
loss=1.0924, Monte Carlo price=0.1886, predicted=0.2226
loss=1.0906, Monte Carlo price=0.2016, predicted=0.2166
loss=1.0360, Monte Carlo price=0.1891, predicted=0.2110
loss=1.0651, Monte Carlo price=0.1932, predicted=0.2075
loss=1.0156, Monte Carlo price=0.1898, predicted=0.2046
loss=1.0797, Monte Carlo price=0.1982, predicted=0.2035
loss=1.0991, Monte Carlo price=0.1979, predicted=0.2017
loss=1.1047, Monte Carlo price=0.2003, predicted=0.1994
loss=1.1344, Monte Carlo price=0.2121, predicted=0.1962
loss=0.9065, Monte Carlo price=0.1768, predicted=0.1933
loss=1.1701, Monte Carlo price=0.2161, predicted=0.1925
loss=0.9310, Monte Carlo price=0.1830, predicted=0.1911
loss=1.1808, Monte Carlo price=0.2045, predicted=0.1892
loss=0.9478, Monte Carlo price=0.1787, predicted=0.1862
loss=1.0353, Monte Carlo price=0.1866, predicted=0.1853
loss=1.1223, Monte Carlo price=0.2059, predicted=0.1839
loss=1.0052, Monte Carlo price=0.1876, predicted=0.1834
loss=0.9883, Monte Carlo price=0.1791, predicted=0.1841
loss=1.1432, Monte Carlo price=0.2043, predicted=0.1852
loss=0.9492, Monte Carlo price=0.1716, predicted=0.1862
loss=0.9393, Monte Carlo price=0.1799, predicted=0.1908
loss=0.9830, Monte Carlo price=0.1838, predicted=0.1926
loss=1.0739, Monte Carlo price=0.2049, predicted=0.1929
loss=0.9920, Monte Carlo price=0.1866, predicted=0.1945
loss=0.9526, Monte Carlo price=0.1748, predicted=0.1933
loss=1.2523, Monte Carlo price=0.2199, predicted=0.1926
loss=1.1851, Monte Carlo price=0.2146, predicted=0.1908
loss=0.9656, Monte Carlo price=0.1783, predicted=0.1916
loss=0.8854, Monte Carlo price=0.1695, predicted=0.1904
loss=0.9576, Monte Carlo price=0.1766, predicted=0.1913
loss=0.8811, Monte Carlo price=0.1596, predicted=0.1937
loss=1.0030, Monte Carlo price=0.1875, predicted=0.1945
loss=1.0223, Monte Carlo price=0.1994, predicted=0.1913
loss=0.9515, Monte Carlo price=0.1775, predicted=0.1876
loss=0.8160, Monte Carlo price=0.1563, predicted=0.1885
loss=1.1348, Monte Carlo price=0.2059, predicted=0.1872
loss=1.0495, Monte Carlo price=0.1970, predicted=0.1897
loss=1.0612, Monte Carlo price=0.2018, predicted=0.1905
loss=1.0039, Monte Carlo price=0.1882, predicted=0.1949
loss=0.8472, Monte Carlo price=0.1761, predicted=0.1930
loss=1.0131, Monte Carlo price=0.1936, predicted=0.1920
loss=1.1449, Monte Carlo price=0.2053, predicted=0.1960
loss=1.0605, Monte Carlo price=0.2039, predicted=0.1951
loss=0.9382, Monte Carlo price=0.1816, predicted=0.1911
loss=0.9591, Monte Carlo price=0.1820, predicted=0.1943
loss=0.8891, Monte Carlo price=0.1788, predicted=0.1960
loss=0.9666, Monte Carlo price=0.1861, predicted=0.1960
