loss=347.0628, Monte Carlo price=10.0774, predicted=0.7191
loss=347.6458, Monte Carlo price=10.5107, predicted=0.7550
loss=324.2062, Monte Carlo price=10.3565, predicted=0.7796
loss=320.4923, Monte Carlo price=10.3851, predicted=0.8015
loss=316.4684, Monte Carlo price=10.3065, predicted=0.8204
loss=298.0430, Monte Carlo price=10.2872, predicted=0.8374
loss=292.9361, Monte Carlo price=10.1871, predicted=0.8552
loss=283.2414, Monte Carlo price=10.2623, predicted=0.8729
loss=297.6286, Monte Carlo price=10.5756, predicted=0.8896
loss=274.2634, Monte Carlo price=10.3883, predicted=0.9067
loss=323.7821, Monte Carlo price=9.9780, predicted=0.7217
loss=323.6241, Monte Carlo price=10.2839, predicted=0.7415
loss=315.2879, Monte Carlo price=10.2479, predicted=0.7588
loss=331.9621, Monte Carlo price=10.2835, predicted=0.7713
loss=334.5896, Monte Carlo price=10.8921, predicted=0.7823
loss=299.9379, Monte Carlo price=10.4857, predicted=0.7955
loss=278.0695, Monte Carlo price=10.0976, predicted=0.8103
loss=261.9925, Monte Carlo price=9.8744, predicted=0.8252
loss=272.6895, Monte Carlo price=10.4474, predicted=0.8372
loss=265.2529, Monte Carlo price=10.3427, predicted=0.8478
loss=255.5828, Monte Carlo price=10.3062, predicted=0.8590
loss=245.9184, Monte Carlo price=10.3948, predicted=0.8426
loss=245.8331, Monte Carlo price=10.5399, predicted=0.8496
loss=236.0425, Monte Carlo price=10.2045, predicted=0.8572
loss=234.7892, Monte Carlo price=10.3086, predicted=0.8657
loss=225.1805, Monte Carlo price=10.2357, predicted=0.8744
loss=224.5197, Monte Carlo price=10.1829, predicted=0.8826
loss=229.1610, Monte Carlo price=10.4478, predicted=0.8919
loss=226.2426, Monte Carlo price=10.5138, predicted=0.9018
loss=233.0633, Monte Carlo price=10.6909, predicted=0.9139
loss=212.2012, Monte Carlo price=10.3637, predicted=0.9275
loss=211.5916, Monte Carlo price=10.2296, predicted=0.9431
loss=210.9108, Monte Carlo price=10.2975, predicted=0.9602
loss=204.5121, Monte Carlo price=10.0764, predicted=0.9787
loss=199.1080, Monte Carlo price=9.9672, predicted=0.9987
loss=213.7469, Monte Carlo price=10.3875, predicted=1.0216
loss=205.2707, Monte Carlo price=10.1835, predicted=1.0454
loss=211.9167, Monte Carlo price=10.4723, predicted=1.0713
loss=195.5618, Monte Carlo price=10.2742, predicted=1.0984
loss=197.2131, Monte Carlo price=10.2183, predicted=1.1265
loss=186.3708, Monte Carlo price=9.9294, predicted=1.1563
loss=189.5055, Monte Carlo price=10.2262, predicted=1.1872
loss=189.0849, Monte Carlo price=10.3239, predicted=1.2189
loss=186.6449, Monte Carlo price=10.4560, predicted=1.2514
loss=181.7017, Monte Carlo price=10.5284, predicted=1.2850
loss=171.3548, Monte Carlo price=10.0877, predicted=1.3196
loss=170.1870, Monte Carlo price=10.2712, predicted=1.3550
loss=166.4470, Monte Carlo price=10.1061, predicted=1.3917
loss=164.9134, Monte Carlo price=10.1829, predicted=1.4299
loss=161.4468, Monte Carlo price=10.3082, predicted=1.4697
loss=160.6810, Monte Carlo price=10.5047, predicted=1.5107
loss=149.4257, Monte Carlo price=10.1269, predicted=1.5537
loss=147.9742, Monte Carlo price=10.3834, predicted=1.5973
loss=154.3960, Monte Carlo price=10.4915, predicted=1.6426
loss=141.6138, Monte Carlo price=10.4619, predicted=1.6881
loss=147.5743, Monte Carlo price=10.4824, predicted=1.7357
loss=136.9602, Monte Carlo price=10.1785, predicted=1.7845
loss=132.1639, Monte Carlo price=10.1055, predicted=1.8340
loss=134.4483, Monte Carlo price=10.2204, predicted=1.8849
loss=136.8592, Monte Carlo price=10.4844, predicted=1.9368
loss=128.2283, Monte Carlo price=10.2955, predicted=1.9895
loss=125.0038, Monte Carlo price=10.2220, predicted=2.0434
loss=119.8512, Monte Carlo price=10.5512, predicted=2.0976
loss=130.5751, Monte Carlo price=10.6795, predicted=2.1530
loss=121.4247, Monte Carlo price=10.2086, predicted=2.2102
loss=113.8035, Monte Carlo price=10.0505, predicted=2.2678
loss=108.6314, Monte Carlo price=10.2780, predicted=2.3261
loss=103.3959, Monte Carlo price=9.8078, predicted=2.3859
