loss=14.6877, Monte Carlo price=1.0698, predicted=0.7259
loss=15.2945, Monte Carlo price=1.0870, predicted=0.7403
loss=14.6450, Monte Carlo price=1.0747, predicted=0.7658
loss=15.6465, Monte Carlo price=1.0936, predicted=0.7845
loss=18.4970, Monte Carlo price=1.2002, predicted=0.7978
loss=15.0366, Monte Carlo price=1.0897, predicted=0.8181
loss=16.3862, Monte Carlo price=1.1368, predicted=0.8258
loss=16.4527, Monte Carlo price=1.2015, predicted=0.8352
loss=16.4071, Monte Carlo price=1.1567, predicted=0.8424
loss=13.5838, Monte Carlo price=1.0314, predicted=0.8493
loss=17.3776, Monte Carlo price=1.2002, predicted=0.7351
loss=15.8245, Monte Carlo price=1.1623, predicted=0.7647
loss=16.7657, Monte Carlo price=1.1980, predicted=0.7957
loss=16.9371, Monte Carlo price=1.2170, predicted=0.8200
loss=16.9148, Monte Carlo price=1.1873, predicted=0.8386
loss=15.2530, Monte Carlo price=1.0646, predicted=0.8566
loss=17.9922, Monte Carlo price=1.2713, predicted=0.8745
loss=17.1102, Monte Carlo price=1.2364, predicted=0.8932
loss=15.5450, Monte Carlo price=1.1697, predicted=0.9112
loss=18.4165, Monte Carlo price=1.2473, predicted=0.9280
loss=16.4179, Monte Carlo price=1.2616, predicted=0.9449
loss=16.2784, Monte Carlo price=1.2023, predicted=0.9635
loss=16.6276, Monte Carlo price=1.2524, predicted=0.9796
loss=15.3980, Monte Carlo price=1.2121, predicted=0.9970
loss=15.3947, Monte Carlo price=1.2227, predicted=1.0134
loss=14.0523, Monte Carlo price=1.1434, predicted=1.0307
loss=13.1686, Monte Carlo price=1.1705, predicted=1.0446
loss=13.3622, Monte Carlo price=1.1339, predicted=1.0542
loss=13.2380, Monte Carlo price=1.1517, predicted=1.0639
loss=13.3167, Monte Carlo price=1.1511, predicted=1.0713
loss=14.0635, Monte Carlo price=1.1940, predicted=1.0801
loss=15.0469, Monte Carlo price=1.3078, predicted=1.0848
loss=12.0138, Monte Carlo price=1.1479, predicted=1.0897
loss=12.7337, Monte Carlo price=1.2180, predicted=1.0942
loss=11.7236, Monte Carlo price=1.1307, predicted=1.0999
loss=12.3817, Monte Carlo price=1.2650, predicted=1.0979
loss=11.3981, Monte Carlo price=1.1315, predicted=1.0978
loss=12.3454, Monte Carlo price=1.1701, predicted=1.0926
loss=10.9046, Monte Carlo price=1.1212, predicted=1.0834
loss=13.7387, Monte Carlo price=1.2558, predicted=0.9079
loss=12.4622, Monte Carlo price=1.2537, predicted=0.9189
loss=11.7230, Monte Carlo price=1.2195, predicted=0.9326
loss=11.6654, Monte Carlo price=1.2588, predicted=0.9491
loss=10.3450, Monte Carlo price=1.1312, predicted=0.9659
loss=9.9617, Monte Carlo price=1.0676, predicted=0.9806
loss=11.0186, Monte Carlo price=1.2471, predicted=0.9951
loss=11.1284, Monte Carlo price=1.1699, predicted=1.0041
loss=10.8778, Monte Carlo price=1.1695, predicted=1.0109
loss=10.2578, Monte Carlo price=1.2580, predicted=1.0214
loss=11.5126, Monte Carlo price=1.2481, predicted=1.0284
loss=10.0050, Monte Carlo price=1.1338, predicted=1.0357
loss=9.6346, Monte Carlo price=1.1996, predicted=1.0401
loss=9.9232, Monte Carlo price=1.1807, predicted=1.0521
loss=11.3198, Monte Carlo price=1.2481, predicted=1.0573
loss=11.2764, Monte Carlo price=1.2983, predicted=1.0623
loss=11.6142, Monte Carlo price=1.1706, predicted=1.0664
loss=10.2338, Monte Carlo price=1.2458, predicted=1.0741
loss=10.1980, Monte Carlo price=1.2134, predicted=1.0777
loss=10.4510, Monte Carlo price=1.2095, predicted=1.0824
loss=10.3585, Monte Carlo price=1.1823, predicted=1.0838
loss=9.9113, Monte Carlo price=1.2195, predicted=1.0791
loss=9.9221, Monte Carlo price=1.1943, predicted=1.0851
loss=10.7429, Monte Carlo price=1.2939, predicted=1.0926
loss=10.0361, Monte Carlo price=1.2637, predicted=1.0943
loss=10.4083, Monte Carlo price=1.2637, predicted=1.0933
loss=9.3703, Monte Carlo price=1.2071, predicted=1.0882
loss=9.2396, Monte Carlo price=1.1671, predicted=1.0883
loss=11.3356, Monte Carlo price=1.3030, predicted=1.0842
loss=11.8930, Monte Carlo price=1.2150, predicted=1.0835
loss=10.1694, Monte Carlo price=1.2843, predicted=1.0844
loss=9.7555, Monte Carlo price=1.1986, predicted=1.0756
loss=10.1573, Monte Carlo price=1.2075, predicted=1.0697
loss=10.4094, Monte Carlo price=1.1905, predicted=1.0704
loss=10.3382, Monte Carlo price=1.2628, predicted=1.0629
loss=8.8156, Monte Carlo price=1.1564, predicted=1.0645
loss=9.2649, Monte Carlo price=1.1500, predicted=1.0664
loss=9.7090, Monte Carlo price=1.1839, predicted=1.0721
loss=8.7102, Monte Carlo price=1.1213, predicted=1.0710
loss=9.4960, Monte Carlo price=1.2191, predicted=1.0623
loss=9.2614, Monte Carlo price=1.2508, predicted=1.0622
loss=9.7757, Monte Carlo price=1.2732, predicted=1.0594
loss=10.2290, Monte Carlo price=1.2137, predicted=1.0549
loss=9.7716, Monte Carlo price=1.2132, predicted=1.0677
loss=9.3542, Monte Carlo price=1.1646, predicted=1.0747
loss=8.9179, Monte Carlo price=1.1589, predicted=1.0831
loss=9.1414, Monte Carlo price=1.2320, predicted=1.0793
loss=9.9640, Monte Carlo price=1.1462, predicted=1.0795
loss=12.1465, Monte Carlo price=1.2938, predicted=1.0813
loss=10.0228, Monte Carlo price=1.1732, predicted=1.0996
loss=10.2063, Monte Carlo price=1.2222, predicted=1.0955
loss=9.4193, Monte Carlo price=1.2008, predicted=1.1023
loss=8.9585, Monte Carlo price=1.2174, predicted=1.1057
loss=8.5478, Monte Carlo price=1.2524, predicted=1.1102
loss=10.6318, Monte Carlo price=1.2594, predicted=1.1003
loss=10.4489, Monte Carlo price=1.2344, predicted=1.0918
loss=8.7641, Monte Carlo price=1.1923, predicted=1.0974
loss=9.0409, Monte Carlo price=1.2476, predicted=1.1013
loss=8.7114, Monte Carlo price=1.1421, predicted=1.0896
loss=9.3514, Monte Carlo price=1.1914, predicted=1.0924
loss=9.0119, Monte Carlo price=1.1764, predicted=1.0789
loss=9.0210, Monte Carlo price=1.0708, predicted=1.0704
loss=9.4552, Monte Carlo price=1.2586, predicted=1.0686
loss=9.2365, Monte Carlo price=1.1706, predicted=1.0778
loss=9.4728, Monte Carlo price=1.1334, predicted=1.0744
loss=8.3060, Monte Carlo price=1.1811, predicted=1.0749
loss=9.1251, Monte Carlo price=1.2873, predicted=1.0779
loss=9.2174, Monte Carlo price=1.2410, predicted=1.0778
loss=8.3005, Monte Carlo price=1.1794, predicted=1.0867
loss=9.0062, Monte Carlo price=1.2404, predicted=1.0852
loss=9.0958, Monte Carlo price=1.2368, predicted=1.0771
