loss=1.0969, Monte Carlo price=0.1603, predicted=0.6548
loss=1.0681, Monte Carlo price=0.1786, predicted=0.6168
loss=0.9440, Monte Carlo price=0.1599, predicted=0.5812
loss=0.9372, Monte Carlo price=0.1614, predicted=0.5478
loss=1.0616, Monte Carlo price=0.1784, predicted=0.5471
loss=1.1688, Monte Carlo price=0.1837, predicted=0.5140
loss=0.9821, Monte Carlo price=0.1739, predicted=0.4807
loss=1.1083, Monte Carlo price=0.1767, predicted=0.4513
loss=1.0185, Monte Carlo price=0.1739, predicted=0.4255
loss=0.8647, Monte Carlo price=0.1501, predicted=0.4034
loss=1.0131, Monte Carlo price=0.1531, predicted=0.6572
loss=0.9487, Monte Carlo price=0.1547, predicted=0.6152
loss=0.7730, Monte Carlo price=0.1316, predicted=0.5774
loss=0.8521, Monte Carlo price=0.1540, predicted=0.5403
loss=0.8910, Monte Carlo price=0.1586, predicted=0.5076
loss=0.9496, Monte Carlo price=0.1678, predicted=0.4763
loss=0.9042, Monte Carlo price=0.1525, predicted=0.4456
loss=0.9787, Monte Carlo price=0.1714, predicted=0.4175
loss=0.8587, Monte Carlo price=0.1524, predicted=0.3925
loss=0.7204, Monte Carlo price=0.1358, predicted=0.3703
loss=0.8260, Monte Carlo price=0.1551, predicted=0.3499
loss=0.8556, Monte Carlo price=0.1525, predicted=0.3314
loss=0.8743, Monte Carlo price=0.1531, predicted=0.3146
loss=0.7520, Monte Carlo price=0.1382, predicted=0.2987
loss=0.8635, Monte Carlo price=0.1557, predicted=0.2849
loss=0.9517, Monte Carlo price=0.1700, predicted=0.2719
loss=0.8883, Monte Carlo price=0.1620, predicted=0.2605
loss=0.7751, Monte Carlo price=0.1442, predicted=0.2495
loss=0.7578, Monte Carlo price=0.1404, predicted=0.2397
loss=0.8656, Monte Carlo price=0.1541, predicted=0.2309
loss=0.6482, Monte Carlo price=0.1316, predicted=0.2220
loss=0.7873, Monte Carlo price=0.1424, predicted=0.2140
loss=0.9012, Monte Carlo price=0.1696, predicted=0.2072
loss=0.7677, Monte Carlo price=0.1414, predicted=0.2013
loss=0.7037, Monte Carlo price=0.1378, predicted=0.1958
loss=0.9779, Monte Carlo price=0.1728, predicted=0.1903
loss=0.8971, Monte Carlo price=0.1624, predicted=0.1855
loss=0.7505, Monte Carlo price=0.1396, predicted=0.1811
loss=0.8169, Monte Carlo price=0.1514, predicted=0.1776
loss=0.8327, Monte Carlo price=0.1515, predicted=0.1742
loss=0.7405, Monte Carlo price=0.1374, predicted=0.1713
loss=0.8068, Monte Carlo price=0.1524, predicted=0.1684
loss=0.9667, Monte Carlo price=0.1713, predicted=0.1657
loss=0.8341, Monte Carlo price=0.1586, predicted=0.1634
loss=0.7716, Monte Carlo price=0.1480, predicted=0.1620
loss=0.9037, Monte Carlo price=0.1674, predicted=0.1613
loss=0.8154, Monte Carlo price=0.1522, predicted=0.1608
loss=0.7287, Monte Carlo price=0.1343, predicted=0.1589
