loss=482.2168, Monte Carlo price=15.7724, predicted=0.7045
loss=452.3442, Monte Carlo price=15.4480, predicted=0.7266
loss=476.0999, Monte Carlo price=16.1425, predicted=0.7434
loss=463.3234, Monte Carlo price=15.9830, predicted=0.7312
loss=426.7351, Monte Carlo price=15.6968, predicted=0.7445
loss=430.7214, Monte Carlo price=16.0034, predicted=0.7538
loss=412.4608, Monte Carlo price=15.9300, predicted=0.7619
loss=397.2134, Monte Carlo price=16.2113, predicted=0.7693
loss=371.0786, Monte Carlo price=15.7282, predicted=0.7775
loss=380.5765, Monte Carlo price=16.1035, predicted=0.8238
loss=494.8982, Monte Carlo price=15.9860, predicted=0.7132
loss=505.8425, Monte Carlo price=16.6039, predicted=0.7343
loss=465.3819, Monte Carlo price=16.2775, predicted=0.7177
loss=454.3797, Monte Carlo price=16.4025, predicted=0.7293
loss=444.0251, Monte Carlo price=16.3451, predicted=0.7424
loss=409.0753, Monte Carlo price=16.2644, predicted=0.7512
loss=393.9192, Monte Carlo price=16.2121, predicted=0.7592
loss=374.1507, Monte Carlo price=16.1998, predicted=0.7728
loss=384.4924, Monte Carlo price=16.5805, predicted=0.7820
loss=350.7362, Monte Carlo price=16.4485, predicted=0.7869
loss=483.1716, Monte Carlo price=16.2419, predicted=0.7216
loss=484.3164, Monte Carlo price=16.6576, predicted=0.7403
loss=466.6641, Monte Carlo price=16.5444, predicted=0.7565
loss=470.9237, Monte Carlo price=16.6618, predicted=0.7341
loss=471.5039, Monte Carlo price=17.2012, predicted=0.7460
loss=421.0079, Monte Carlo price=16.7554, predicted=0.7583
loss=385.6171, Monte Carlo price=16.3591, predicted=0.7718
loss=358.2645, Monte Carlo price=16.2180, predicted=0.7873
loss=367.8024, Monte Carlo price=16.7888, predicted=0.8035
loss=351.3134, Monte Carlo price=16.6909, predicted=0.8201
loss=339.6351, Monte Carlo price=16.6299, predicted=0.8363
loss=326.9773, Monte Carlo price=16.7416, predicted=0.8514
loss=324.5926, Monte Carlo price=16.9647, predicted=0.8601
loss=312.7856, Monte Carlo price=16.5935, predicted=0.8691
loss=313.2553, Monte Carlo price=16.5950, predicted=0.8770
loss=303.6761, Monte Carlo price=16.6398, predicted=0.8844
loss=311.0544, Monte Carlo price=16.5613, predicted=0.8914
loss=322.4406, Monte Carlo price=16.8515, predicted=0.8983
