loss=252.4982, Monte Carlo price=12.4108, predicted=0.7084
loss=259.0613, Monte Carlo price=12.7441, predicted=0.7430
loss=240.7934, Monte Carlo price=12.3935, predicted=0.7597
loss=234.9521, Monte Carlo price=12.4546, predicted=0.8202
loss=223.3494, Monte Carlo price=12.5664, predicted=0.8104
loss=205.6933, Monte Carlo price=12.3468, predicted=0.8222
loss=191.8438, Monte Carlo price=12.4530, predicted=0.8317
loss=177.6429, Monte Carlo price=12.2854, predicted=0.8385
loss=172.9928, Monte Carlo price=12.5392, predicted=0.8436
loss=167.8841, Monte Carlo price=12.5839, predicted=0.8478
loss=277.2753, Monte Carlo price=13.2861, predicted=0.7218
loss=259.0646, Monte Carlo price=12.8749, predicted=0.7475
loss=246.6681, Monte Carlo price=12.9237, predicted=0.7638
loss=232.3060, Monte Carlo price=12.8979, predicted=0.7856
loss=226.5951, Monte Carlo price=13.1378, predicted=0.7977
loss=208.7653, Monte Carlo price=13.1365, predicted=0.8110
loss=192.7407, Monte Carlo price=13.1455, predicted=0.8252
loss=177.0724, Monte Carlo price=13.0344, predicted=0.8409
loss=167.8588, Monte Carlo price=12.9071, predicted=0.8543
loss=155.5959, Monte Carlo price=12.8738, predicted=0.8665
loss=285.7016, Monte Carlo price=13.6604, predicted=0.7266
loss=266.5526, Monte Carlo price=13.3043, predicted=0.7456
loss=260.9557, Monte Carlo price=13.5373, predicted=0.7631
loss=242.3168, Monte Carlo price=13.5932, predicted=0.7742
loss=214.1992, Monte Carlo price=13.1929, predicted=0.7448
loss=201.7780, Monte Carlo price=13.3237, predicted=0.7974
loss=196.2426, Monte Carlo price=13.6355, predicted=0.8100
loss=179.9338, Monte Carlo price=13.5905, predicted=0.8231
loss=164.2974, Monte Carlo price=13.4309, predicted=0.8351
loss=163.3974, Monte Carlo price=13.5941, predicted=0.8384
loss=152.5239, Monte Carlo price=13.4862, predicted=0.8592
loss=148.1461, Monte Carlo price=13.5346, predicted=0.8717
loss=148.1773, Monte Carlo price=13.3318, predicted=0.8851
loss=143.6052, Monte Carlo price=13.4761, predicted=0.8998
loss=142.2617, Monte Carlo price=13.4310, predicted=0.9162
loss=145.8338, Monte Carlo price=13.2869, predicted=0.9340
loss=148.8338, Monte Carlo price=13.3933, predicted=0.9526
loss=151.4701, Monte Carlo price=13.4157, predicted=0.9722
loss=159.0231, Monte Carlo price=13.5051, predicted=0.9946
loss=162.0341, Monte Carlo price=13.2240, predicted=1.0196
loss=170.0883, Monte Carlo price=13.2429, predicted=1.0468
loss=178.4964, Monte Carlo price=13.4674, predicted=1.0755
loss=187.6526, Monte Carlo price=13.2184, predicted=1.1068
loss=192.1985, Monte Carlo price=13.4463, predicted=1.1402
loss=195.5602, Monte Carlo price=13.5899, predicted=1.2656
loss=200.4660, Monte Carlo price=13.3555, predicted=1.3183
loss=204.4960, Monte Carlo price=13.3931, predicted=1.3699
loss=210.7393, Monte Carlo price=13.4824, predicted=1.4226
loss=213.2406, Monte Carlo price=13.3966, predicted=1.4762
loss=216.7064, Monte Carlo price=13.4850, predicted=1.5307
loss=215.8478, Monte Carlo price=13.6207, predicted=1.5853
loss=220.9550, Monte Carlo price=13.5046, predicted=1.6421
loss=226.4763, Monte Carlo price=13.4879, predicted=1.6988
loss=221.4653, Monte Carlo price=13.2182, predicted=1.7570
loss=222.7256, Monte Carlo price=13.3812, predicted=1.8147
loss=222.4470, Monte Carlo price=13.4686, predicted=1.8744
loss=219.7368, Monte Carlo price=13.5258, predicted=1.9363
loss=217.9648, Monte Carlo price=13.6310, predicted=2.0009
loss=215.1610, Monte Carlo price=13.4854, predicted=2.0662
loss=216.6346, Monte Carlo price=13.6833, predicted=2.1335
loss=211.6927, Monte Carlo price=13.1915, predicted=2.2008
loss=216.1537, Monte Carlo price=13.5891, predicted=2.2707
loss=214.6201, Monte Carlo price=13.3820, predicted=2.3425
loss=214.6935, Monte Carlo price=13.4245, predicted=2.4147
loss=211.8223, Monte Carlo price=13.3878, predicted=2.4886
loss=207.1832, Monte Carlo price=13.3758, predicted=2.5637
loss=206.7596, Monte Carlo price=13.4009, predicted=2.6416
loss=205.1568, Monte Carlo price=13.3205, predicted=2.7205
loss=206.6038, Monte Carlo price=13.4994, predicted=2.8025
loss=203.8378, Monte Carlo price=13.4898, predicted=2.8868
loss=201.6125, Monte Carlo price=13.5425, predicted=2.9690
loss=198.5887, Monte Carlo price=13.5607, predicted=3.0548
loss=199.8726, Monte Carlo price=13.5758, predicted=3.1419
loss=191.0827, Monte Carlo price=13.4184, predicted=3.2309
loss=191.8756, Monte Carlo price=13.6057, predicted=3.3230
loss=189.2933, Monte Carlo price=13.6489, predicted=3.4175
loss=185.7420, Monte Carlo price=13.3966, predicted=3.5102
loss=185.4612, Monte Carlo price=13.7319, predicted=3.6047
loss=184.8956, Monte Carlo price=13.7431, predicted=3.7018
loss=178.2891, Monte Carlo price=13.7160, predicted=3.8000
loss=176.1533, Monte Carlo price=13.4465, predicted=3.9005
loss=172.0737, Monte Carlo price=13.5169, predicted=3.9992
loss=173.4254, Monte Carlo price=13.4031, predicted=4.1035
loss=169.3096, Monte Carlo price=13.5955, predicted=4.2072
loss=167.4495, Monte Carlo price=13.6200, predicted=4.3117
loss=160.5632, Monte Carlo price=13.3610, predicted=4.4184
loss=158.9776, Monte Carlo price=13.4351, predicted=4.5234
loss=156.7599, Monte Carlo price=13.5206, predicted=4.6316
loss=154.0548, Monte Carlo price=13.2165, predicted=4.7406
loss=151.1737, Monte Carlo price=13.3789, predicted=4.8509
loss=152.8538, Monte Carlo price=13.4897, predicted=4.9623
loss=148.5144, Monte Carlo price=13.4688, predicted=5.0736
loss=145.4648, Monte Carlo price=13.5990, predicted=5.1886
loss=141.4911, Monte Carlo price=13.3863, predicted=5.3007
loss=139.5851, Monte Carlo price=13.3149, predicted=5.4158
loss=135.7916, Monte Carlo price=13.2655, predicted=5.5311
loss=133.7317, Monte Carlo price=13.4479, predicted=5.6481
loss=133.1039, Monte Carlo price=13.5858, predicted=5.7673
loss=127.3346, Monte Carlo price=13.4451, predicted=5.8838
loss=124.0767, Monte Carlo price=13.6004, predicted=6.0003
loss=121.1472, Monte Carlo price=13.5177, predicted=6.1179
loss=119.8434, Monte Carlo price=13.2437, predicted=6.2362
loss=117.3759, Monte Carlo price=13.3501, predicted=6.3573
loss=114.7877, Monte Carlo price=13.6561, predicted=6.4762
loss=110.4464, Monte Carlo price=13.3545, predicted=6.5957
loss=108.9917, Monte Carlo price=13.4122, predicted=6.7155
loss=107.1001, Monte Carlo price=13.5085, predicted=6.8368
loss=106.1328, Monte Carlo price=13.4791, predicted=6.9556
loss=104.2541, Monte Carlo price=13.3940, predicted=7.0753
loss=98.6246, Monte Carlo price=13.4502, predicted=7.1959
loss=98.1758, Monte Carlo price=13.2273, predicted=7.3196
loss=96.1553, Monte Carlo price=13.5218, predicted=7.4438
loss=97.9903, Monte Carlo price=13.5606, predicted=7.5893
loss=92.6864, Monte Carlo price=13.4086, predicted=7.7256
loss=89.4835, Monte Carlo price=13.2756, predicted=7.8562
loss=88.9059, Monte Carlo price=13.4551, predicted=7.9934
loss=88.1962, Monte Carlo price=13.5849, predicted=8.1481
loss=82.5915, Monte Carlo price=13.2765, predicted=8.2898
loss=82.3178, Monte Carlo price=13.7151, predicted=8.4329
loss=79.3281, Monte Carlo price=13.5912, predicted=8.5726
